model,metric,workload_queries,warmup_runs,measured_runs,threshold_ms,mean_ms,p50_ms,p95_ms,passes_threshold,component_distance,component_ranking,component_centroid_distance,component_cluster_selection,component_candidate_distance
Exact KNN,cosine,100,3,10,1.0,0.03311829990707338,0.03159299987601116,0.03710549998504575,True,0.014535400026943535,0.01494649998494424,,,
Exact KNN,euclidean,100,3,10,1.0,0.030850400042254478,0.03045099991140887,0.033557650094735436,True,0.013516999984858558,0.01551679999101907,,,
Exact KNN,manhattan,100,3,10,1.0,0.026658999995561317,0.02657549994182773,0.0274444499227684,True,0.00993559998460114,0.01513019998674281,,,
KNN + K-Means++,cosine,100,3,10,1.0,0.554232199996477,0.5463405001501087,0.6076620500680292,True,,0.09081529965624213,0.004293299949495122,0.05362120000063442,0.390916400909191
KNN + K-Means++,euclidean,100,3,10,1.0,0.3910837999719661,0.38831549987662584,0.40543754999816883,True,,0.09628379982314073,0.002870599942980334,0.05391329948906787,0.2262035996245686
KNN + K-Means++,manhattan,100,3,10,1.0,0.38717699993867427,0.3835639999306295,0.4038931500253966,True,,0.13297880001482554,0.0023324000649154186,0.051651900372235104,0.18724470044253394
