metric,model,n_clusters,n_probe,neighbors_per_crop,Precision@K,Recall@K,MAP@K,HitRate@K,NDCG@K,MeanRank_when_hit,Latency_ms_per_query,Avg_candidates,Candidate_ratio,Avg_clusters_scanned,Latency_centroid_distance_ms,Latency_cluster_selection_ms,Latency_candidate_distance_ms,Latency_ranking_ms
cosine,KMeansSearch KNN,32,1,3,0.2,1.0,0.9734848484848486,1.0,0.9803562171915596,1.059090909090909,0.5377727272306484,194.03636363636363,0.12599763872491146,3.8954545454545455,0.0021445455124855725,0.05008136332352561,0.385221363235773,0.08920545396077531
euclidean,KMeansSearch KNN,32,3,5,0.2,1.0,0.9833333333333334,1.0,0.9876617205519489,1.0363636363636364,0.3828659091430547,222.23181818181817,0.14430637544273908,4.036363636363636,0.0016218182281590998,0.053739545480559835,0.2218286382478916,0.09543954497944056
manhattan,KMeansSearch KNN,16,3,3,0.2,1.0,0.9863636363636363,1.0,0.9899344478246762,1.0272727272727273,0.42987681822110474,332.9909090909091,0.21622786304604485,3.077272727272727,0.0014477271840653632,0.05748499917734245,0.21229318213458595,0.14567318258658898
