metric,model,neighbors_per_crop,Precision@K,Recall@K,MAP@K,HitRate@K,NDCG@K,MeanRank_when_hit,Latency_ms_per_query,Avg_candidates,Candidate_ratio,Avg_clusters_scanned,Latency_distance_ms,Latency_ranking_ms
cosine,KNN baseline,10,0.2,1.0,0.975,1.0,0.9814386739772736,1.059090909090909,0.02669090913100676,1540.0,1.0,,0.012196818186732182,0.01251909085443582
euclidean,KNN baseline,10,0.2,1.0,0.9833333333333334,1.0,0.9876617205519489,1.0363636363636364,0.024925454636104405,1540.0,1.0,,0.011701363572766159,0.012270000032995913
manhattan,KNN baseline,10,0.2,1.0,0.9886363636363636,1.0,0.9916120398538968,1.0227272727272727,0.022768181886269966,1540.0,1.0,,0.008465454448014498,0.013265000068878928
