metric,baseline_MAP@K,hybrid_MAP@K,MAP_delta,baseline_NDCG@K,hybrid_NDCG@K,NDCG_delta,candidate_reduction_pct,latency_change_pct
euclidean,0.9920454545454546,0.9905303030303031,-0.0015151515151514694,0.9941284278977277,0.9929920642613641,-0.001136363636363602,86.33651859504133,1489.5491245589942
manhattan,0.9920454545454546,0.9920454545454546,0.0,0.9941284278977277,0.9941284278977277,0.0,78.82722107438016,2003.0109728847847
cosine,0.9738636363636364,0.9784090909090909,0.004545454545454519,0.9807076916639625,0.9840628757224039,0.003355184058441374,87.40147210743801,2012.2114859023138
